31-08-2022	10:45:59	3e62082c-c14d-4551-b074-ffa3a3c77663	GET	/
31-08-2022	10:45:59	e1b85f05-7c57-49bd-a885-d77b2f3dacc6	GET	/css/style.css
31-08-2022	10:45:59	8e92327d-9720-45b5-b4b0-da248efa0c6a	GET	/img/family.png
31-08-2022	10:46:20	3479dd1a-9ea4-482a-9eb7-bbbbc24393fe	GET	/new-page.html
31-08-2022	10:46:35	6e2f5c14-5536-4df9-9bf0-b1b6866161d7	GET	/new-page.html
31-08-2022	10:51:20	c87d9806-5122-4053-9fdd-ddfc335af23e	GET	/new-page.html
31-08-2022	10:51:29	1f756400-4e49-4a1a-a21e-83ba28b34a75	GET	/ads
31-08-2022	10:53:17	840905ed-5aa3-4933-bab4-3c1509bf4c3c	GET	undefined	/ads
31-08-2022	10:53:32	93d07595-983a-4923-acaf-8cb495827140	GET	undefined	/
31-08-2022	10:53:32	c52f5cb7-6a76-44f1-bfd3-eba4529480a5	GET	undefined	/img/family.png
31-08-2022	10:53:32	cd930274-b857-4312-a9ad-42a4f7a42ab1	GET	undefined	/css/style.css
31-08-2022	10:58:00	44db783a-34a1-4029-9364-c5423ad9d629	GET	undefined	/new-page.html
31-08-2022	10:58:07	a2236cd6-ce0e-4adb-90f3-e3f271baca43	GET	undefined	/new-page.html
31-08-2022	10:59:15	0d08ef9a-ad6a-4916-86fd-d9a292750290	GET	undefined	/new-page.html
31-08-2022	10:59:22	61373c32-fecb-435c-a46d-309a60b50b37	GET	undefined	/sdf
31-08-2022	10:59:29	75024052-26d0-4418-9849-8f0b6cef9a3f	GET	undefined	/
31-08-2022	10:59:29	5b347398-823e-42d1-81f2-20d7d5e732b1	GET	undefined	/css/style.css
31-08-2022	10:59:29	5a30c2f1-227a-4805-b9aa-d707a44ca645	GET	undefined	/img/family.png
31-08-2022	10:59:41	0b9abe8d-5632-4c57-bb49-e1940da08bfd	GET	undefined	/
